Line;seq;SO;Ext.order;WO;Status;print;obrada;Drawings;Truck;Truck date;CUSTOMER;Customer comment;EAN;DESCRIPTION;DESCRIPTION2;Color;QTY;Reason - comment;Nav Painted;WELDED;SHIPPED;STOCK;REST;TBP;logic palet 1;logic palet 2;logic palet 3;logic palet 4;BIG;EURO;PROGRESS;calc;Rest2;EX.SHIP DATE;Unit price;Rest price
F-LINE;0;SO027592;PO010397;WO074193;Released;1;prolazne rupe;Drawing;DE-1410;45944;KENDA Deutschland GmbH;;707136;WB W9x18 H2 6/117.7/152.4 Ø17.5 ET-71;White CP2012 STARCO 1180@40;BIANCO LUCIDO;32;;0;0;0;0;32;32;2;;2;0;2;;0;32;32;45954;64,27;2056,64
F-LINE;0;SO027592;PO010397;WO074197;Released;0;OC;Drawing;DE-1610;45946;KENDA Deutschland GmbH;;576831;WB 13.00x17 H2 6/151/205 Ø26 R18 ET100;Grey RAL7042 STARCO 2600@50;RAL7042;20;;0;0;0;0;20;20;1,333333333;;1;0,333333333;1;1;0;20;20;45954;83,2;1664
PRESS-SPACER;0;SO027893;PO007272_SO056435;WO075231;Firm Planned;0;;Drawing;GS-3110;45961;KENDA Schweiz AG;;141237;DU AW Spacer Stepped 17/15.3-145,0 DTS;RAL9006 Silver;RAL9006;2;;0;0;0;0;2;2;0,071428571;;0;0,071428571;;1;0;2;2;45954;63,896;127,792
GS-SOK;0;SO027878;PO007260_SO056106;WO075322;Firm Planned;0;;Drawing;GS-3110;45961;KENDA Schweiz AG;;122069;DU Wheel SOK2 W9x18-200,0   143VSM;White RAL9018;RAL9018;4;;0;0;0;0;4;4;0,5;;0;0,5;;1;0;4;4;45947;110,4;441,6
E-LINE;0;SO027928;PO007289_SO056895;WO075352;Firm Planned;0;;Drawing;GS-3110;45961;KENDA Schweiz AG;;166759;WB 7.00Ix12 H2 4/60/100 Ø14 ET-52;Silver RAL9006 KENDA 400@16;RAL9006;1;;0;0;0;0;1;1;0,016666667;;0;0,016666667;;1;0;1;1;45961;150,04;150,04
G-LINE;0;SO025889;MAIL2606;WO069074;Finished;1;CO Puncher;Drawing;;;AGROTES D.O.O.;;641935;WB 7Jx15 H2 6/161/205 Ø21.5 R16 ET0;Silver RAL9006 STARCO 1500@40;RAL9006;70;kemija;69;70;-68;1;2;1;0,057142857;;0;0,057142857;;1;0,985714286;1;1;45624;56,3;112,6
C-LINE;0;SO025933;PO009227;WO069156;Released;4;;Drawing;;;KENDA Polska Sp. z.o.o.;;541747;WI EK 4.50Ax6 H 25x90/98;TL Silver RAL9006 6205 2RS STARCO 335@30;RAL9006;300;NEMA;164;300;-164;0;136;136;0,354166667;0,647619048;0;0,354166667;;1;0,546666667;136;136;45611;9,8;1332,8
G-LINE;0;SO025534;SEPO-WP12477-1;WO069169;Finished;3;OC;Drawing;;;KENDA Europe A/S;;141152;WB AG9.50x14.5 H2 6/161/205 Ø21.5 R16 ET0 RFH;VG3 Silver RAL9006 STARCO 2000@40;RAL9006;3;;3;3;0;3;3;0;0,083333333;;0;0,083333333;;1;1;0;0;45408;;
B-LINE;0;SO025971;PO009212;WO069251;Released;2;CO Puncher;Drawing;;;KENDA Polska Sp. z.o.o.;;294384;WB 5.50Ax8 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 STARCO 375@140;RAL9006;200;NEMA;183;200;-183;0;17;17;0,097142857;0,188888889;0;0,097142857;;1;0,915;17;17;45819;9,37;159,29
SPIN;0;SO026030;KEPO-WB11269-4;WO069429;Finished;4;;Drawing;;;KENDA Europe A/S;;646336;WD Plug-fit 12mm  Ø440,0mm;DD128mm PCD max. 335,0mm   Unpainted;UNPAINTED;4;;4;4;0;4;4;0;0,222222222;;0;0,222222222;;1;1;#NULL!;#NULL!;45555;45,22;180,88
G-LINE;0;;;WO069541;Finished;1;CO Puncher;Drawing;;;;;164687;WB 9.00x15.3 H2 5/94/140 Ø18.5 R14 ET-30;(E-Coat Only) 1360@40;E-COAT ONLY;2;;1;2;0;1;2;1;0,071428571;;0;0,071428571;;1;0,5;1;1;#N/A;;
E-LINE;0;;;WO069546;Released;1;prolazne rupe;Drawing;;;;;164915;WB 8.50Ix12 H2 6/90/120 Ø14 - ET-18;Orange CP1031 KENDA 1030@40;KUBOTA ORANGE;100;;0;1;0;0;100;100;2,777777778;;2;0,777777778;2;1;0;100;100;#N/A;;
B-LINE;0;SO026082;PO009347;WO069572;Released;1;;Drawing;;;KENDA Polska Sp. z.o.o.;;662732;WI EK 5.50Ax8 H2 25x85/95;TL Silver RAL9006 62052RS C3 STARCO 300@25;RAL9006;300;NEMA;190;300;-190;0;110;110;#N/A;1,047619048;#N/A;;;2;0,633333333;110;110;45654;11,16;1227,6
G-LINE;0;;;WO069587;Finished;2;OC;Drawing;;;;;163802;WB 8Jx16 H2 6/161/205 Ø18.5 R14 ET-120;Black RAL9005 KENDA 1850@110;RAL9005;4;;1;4;0;1;4;3;0,166666667;;0;0,166666667;;1;0,25;3;3;#N/A;;
E-LINE;0;SO026201;PO004591;WO069908;Released;6;CO Puncher;Drawing;;;KENDA GB Rugeley Ltd;;736006;WB 7.00Ix10 H2 4/64.5/101.6 Ø14.5 C60 ET-28.5;Silver RAL9006 STARCO 600@20;RAL9006;100;;94;100;-94;0;6;6;0,075;;0;0,075;;1;0,94;6;6;45849;22,9;137,4
D-LINE;0;;;WO069947;Finished;1;;Drawing;;;;;506784;RM W8x24;(1-piece) STARCO;UNPAINTED OILED;7;;7;7;0;7;7;0;0,875;;0;0,875;;1;1;0;0;#N/A;;
G-LINE;0;;;WO070080;Finished;1;CO Puncher;Drawing;;;;;285641;WB 13LBx15 H2 6/161/205 Ø21.5 R16 ET0;Silver RAL9006 STARCO 1800@40;RAL9006;6;;1;6;0;1;6;5;0,333333333;;0;0,333333333;;1;0,166666667;5;5;#N/A;;
B-LINE;0;SO026309;PO009468;WO070260;Released;1;CO Puncher;Drawing;;;KENDA Polska Sp. z.o.o.;;294384;WB 5.50Ax8 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 STARCO 375@140;RAL9006;210;NEMA;187;210;-187;0;23;23;0,131428571;0,255555556;0;0,131428571;;1;0,89047619;23;23;45773;8,92;205,16
GS-LINE;0;SO026337;MAIL15112024;WO070372;Finished;1;;Drawing;;;KENDA Europe A/S;;695532;DU AW Spacer Standard 12-160,0 DTS;RAL9006 Silver;RAL9006;1;;1;1;0;1;1;0;0,016666667;;0;0,016666667;;1;1;0;0;45618;58,8;58,8
B-LINE;0;SO026395;PO009572;WO070528;Released;2;;Drawing;;;KENDA Polska Sp. z.o.o.;;662732;WI EK 5.50Ax8 H2 25x85/95;TL Silver RAL9006 62052RS C3 STARCO 300@25;RAL9006;100;NEMA;68;100;-68;0;32;32;#N/A;0,304761905;#N/A;;;1;0,68;32;32;45822;11,72;375,04
B-LINE;0;SO026480;KANBAN;WO070793;Released;3;;#N/A;;;KENDA Polska Sp. z.o.o.;;616711;WI GK 5.50Ax8 H2 20x89,5 TL Silver RAL9006;62042RS STARCO 700@16 + VL TR412 Rubber Snap-In...;RAL9006;420;NEMA;420;420;-304;116;116;0;0,662857143;1,104761905;0;0,662857143;;2;1;0;0;45771;15,67;1817,72
B-LINE;0;SO026611;PO009700;WO071223;Released;1;;Drawing;;;KENDA Polska Sp. z.o.o.;;385310;WI EK 7.00Ax8 H2 30x92/102;TL Silver RAL9006 62062RS STARCO 350@40;RAL9006;200;NEMA;136;200;-136;0;64;64;0,512;0,853333333;0;0,512;;1;0,68;64;64;45764;16,9;1081,6
G-LINE;0;;;WO071663;Released;2;OC;Drawing;;;;;141152;WB AG9.50x14.5 H2 6/161/205 Ø21.5 R16 ET0 RFH;VG3 Silver RAL9006 STARCO 2000@40;RAL9006;4;;0;4;0;0;4;4;0,111111111;;0;0,111111111;;1;0;4;4;#N/A;;
E-LINE;0;SO026775;PO009796;WO071667;Released;2;CO Puncher;Drawing;;;KENDA Polska Sp. z.o.o.;;139623;WB 10.50Ix12 H2 5/94/140 Ø18.5 R14 ET0;Silver RAL9006 STARCO 1685@16;RAL9006;80;NEMA;79;80;-74;5;6;1;0,125;0,285714286;0;0,125;;1;0,9875;1;1;45796;33,45;200,7
F-LINE;0;SO026787;PO009814;WO071679;Released;4;CO Puncher;Drawing;;;KENDA Polska Sp. z.o.o.;PRIO 20;521022;WB AG13.00x15.5 H2 6/161/205 Ø21.5 R16 ET-15;VG3 Silver RAL9006 KENDA 2900@40;RAL9006;100;NEMA;88;100;-88;0;12;12;0,571428571;1;0;0,571428571;;1;0,88;12;12;45842;37,99;455,88
F-LINE;0;SO026914;4502553332;WO072016;Firm Planned;0;CO Puncher;Drawing;;;Maschinenfabrik Bernard Krone GmbH & Co. KG;;357850;WB 13.00x17 H2 6/161/205 Ø21.5 R16 ET0;VG2 Silver RAL9006 STARCO 2360@40;RAL9006;660;;0;0;0;0;660;660;44;;44;0;44;;0;660;660;46007;43;28380
A-LINE;0;SO026948;PO004814;WO072126;Released;1;;Drawing;;;KENDA GB Rugeley Ltd;;275307;WI GO 2.50Ax8 25,6x66;TL Red RAL3002 STARCO 175@20;RAL3002;405;;0;0;0;0;405;405;1;;1;0;1;;0;405;405;46045;4,59;1858,95
F-LINE;0;SO026948;PO004814;WO072133;Finished;5;OC;Drawing;;;KENDA GB Rugeley Ltd;;614014;WB W13x20 H2 5/290/335 Ø21.5 R22.4 ET10;VG3 Yellow (CP1090 JCB) STARCO 3423@30;RAL1028;240;MIN 80 PCS;240;240;-236;4;4;0;0,333333333;;0;0,333333333;;1;1;0;0;45869;87,36;349,44
GS-MTM;0;SO026948;PO004814;WO072138;Released;4;CO Puncher;Drawing;;;KENDA GB Rugeley Ltd;;275963;WB AG16.00x22.5 H2 8/221/275 Ø21.5 R16 ET-12;VG3 Black RAL9005 KENDA 4550@30;RAL9005;280;;276;276;-276;0;4;4;0,5;;0;0,5;;1;0,985714286;4;4;45838;138,65;554,6
B-LINE;0;;;WO072166;Released;1;;Drawing;;;;;507071;WI EK 5.50Ax8 H2 25x87/101;TL Grey RAL7035 6205 2RS STARCO 355@20;RAL9006;30;;0;30;0;0;30;30;0,171428571;;0;0,171428571;;1;0;30;30;#N/A;;
G-LINE;0;SO027810;PO010485;WO074935;Released;1;prolazne rupe;Drawing;DE-1610;45946;KENDA Deutschland GmbH;;705163;WB W8x16 H2 5/79.5/114.3 Ø13.5 ET-55;VG3 Orange CP1031 STARCO 1030@40;KUBOTA ORANGE;20;;0;0;0;0;20;20;0,833333333;;0;0,833333333;;1;0;20;20;45954;50,54;1010,8
G-LINE;0;SO027801;PO010465;WO074912;Released;1;OC;Drawing;DE-1610;45946;KENDA Deutschland GmbH;;722467;WB 9.00x15.3 H2 6/161/205 Ø21.5 R16 ET-50;Orange RAL2002 STARCO 1950@40;RAL2002;50;;0;0;0;0;50;50;2,083333333;;2;0,083333333;2;1;0;50;50;45954;54,11;2705,5
G-LINE;0;SO027810;PO010485;WO074936;Released;1;CO Puncher;Drawing;DE-2110;45951;KENDA Deutschland GmbH;;715629;WB 6Jx16 H2 5/96/140 Ø15 C80 ET49;Silver RAL9006 STARCO 1250@40;RAL9006;16;;0;0;0;0;16;16;0,533333333;;0;0,533333333;;1;0;16;16;45954;91,71;1467,36
E-LINE;0;SO027179;PO004867;WO072802;Released;2;prolazne rupe;Drawing;;;KENDA GB Rugeley Ltd;PRIO;713540;WB 7.00Bx8 H2 4/70/100 Ø13 ET-24;Orange CP1031 STARCO 650@16;KUBOTA ORANGE;50;;48;50;-48;0;2;2;0,016;;0;0,016;;1;0,96;2;2;45899;18,17;36,34
E-LINE;0;SO027754;PO010445;WO074801;Firm Planned;0;CO Puncher;Drawing;DE-2110;45951;KENDA Deutschland GmbH;;273556;WB 10.50Ix12 H2 4/60/100 Ø15 C60 ET-40;Silver RAL9006 STARCO 785@16;RAL9006;80;;0;0;0;0;80;80;1,666666667;;1;0,666666667;1;1;0;80;80;45954;30;2400
F-LINE;0;SO027800;PO010464;WO074905;Released;1;CO Puncher;Drawing;DE-2310;45953;KENDA Deutschland GmbH;;625218;WB 7Jx16 H2 6/161/205 Ø21.5 R16 ET30;Silver RAL9006 STARCO 1689@90;RAL9006;50;;0;0;0;0;50;50;1,666666667;;1;0,666666667;1;1;0;50;50;45954;61,22;3061
G-LINE;0;SO027556;PO010377;WO074051;Released;1;;Drawing;DE-2310;45953;KENDA Deutschland GmbH;;162775;WB 9.00x15.3 H2 5/94/140 Ø18.5 R14 ET0 VG2 Orange;RAL2004  CP1108 STARCO 1000@30 + VL TR415 Rubbe...;RAL2004;50;;0;0;0;0;50;50;1,785714286;;1;0,785714286;1;1;0;50;50;45954;44,68;2234
G-LINE;0;SO027592;PO010397;WO074194;Released;1;prolazne rupe;Drawing;DE-2310;45953;KENDA Deutschland GmbH;;709000;WB 9.00x15.3 H2 6/117.7/152.4 Ø17.5 ET-36;White CP1073 STARCO 1180@40;BIANCO LUCIDO;2;;0;0;0;0;2;2;0,071428571;;0;0,071428571;;1;0;2;2;45954;55,18;110,36
G-LINE;0;SO027564;PO010378;WO074077;Released;1;CO Puncher;Drawing;DE-2410;45954;KENDA Deutschland GmbH;;362359;WB 13LBx15 H2 6/161/205 Ø21.5 R16.0 ET-37;Silver RAL9006 STARCO 1800@40;RAL9006;30;;0;0;0;0;30;30;1,25;;1;0,25;1;1;0;30;30;45954;57,91;1737,3
G-LINE;0;SO027816;PO010527;WO074983;Released;1;prolazne rupe;Drawing;DE-2810;45958;KENDA Deutschland GmbH;;141886;WB 10LBx15 H2 10/93/140 Ø16.5 ET0;Silver RAL9006 STARCO 1800@10;RAL9006;18;;0;0;0;0;18;18;0,857142857;;0;0,857142857;;1;0;18;18;45954;99,51;1791,18
G-LINE;0;SO027681;PO010420;WO074559;Released;1;OC;Drawing;DE-2810;45958;KENDA Deutschland GmbH;;729916;WB 6Jx15 H2 6/161/205 Ø21.5 R16 ET70;Silver RAL9006 STARCO 1682@50;RAL9006;140;;0;0;0;0;140;140;4;;4;0;4;;0;140;140;45954;40,03;5604,2
E-LINE;0;SO027589;PO010371;WO074177;Firm Planned;0;CO Puncher;Drawing;DE-2810;45958;KENDA Deutschland GmbH;;105109;WB 8.50Ix12 H2 5/80/115 Ø18.5 R14 ET-95;Orange CP1031 STARCO 1320@16;KUBOTA ORANGE;60;;0;0;0;0;60;60;1,25;;1;0,25;1;1;0;60;60;45954;28,6;1716
E-LINE;0;SO027816;PO010527;WO074984;Firm Planned;0;prolazne rupe;Drawing;DE-3110;45961;KENDA Deutschland GmbH;;269726;WB 7.00Ix12 H2 10/93/140 Ø16.5 ET20;Silver RAL9006 STARCO 975@10;RAL9006;6;;0;0;0;0;6;6;0,1;;0;0,1;;1;0;6;6;45954;32,11;192,66
F-LINE;0;SO027754;PO010445;WO074800;Released;1;prolazne rupe;Drawing;DE-3110;45961;KENDA Deutschland GmbH;;511313;WB W9x20 H2 6/114.5/152 Ø16 ET-45;VG3 Orange CP1031 STARCO 1060@40;KUBOTA ORANGE;20;;0;0;0;0;20;20;1,25;;1;0,25;1;1;0;20;20;45954;76,51;1530,2
A-LINE;0;SO027790;PO010463;WO074881;Firm Planned;0;;Drawing;;;KENDA Deutschland GmbH;;354729;WI GR 2.50Ax6 20x120/114;Red RAL3002 Roller STARCO 112@30;RAL3002;600;;0;0;0;0;600;600;2,5;;2;0,5;2;1;0;600;600;45954;6,16;3696
G-LINE;0;SO027754;PO010445;WO075324;Firm Planned;0;;Drawing;DE-3010B;;KENDA Deutschland GmbH;;459479;WB 7Jx14 H2 6/117.8/152.4 Ø17.5 ET-16;White STARCO 650@30;BIANCO LUCIDO;25;;0;0;0;0;25;25;0,555555556;;0;0,555555556;;1;0;25;25;45954;45,9;1147,5
G-LINE;0;SO027281;PO004916;WO073234;Released;3;OC;Drawing;;;KENDA GB Rugeley Ltd;PRIO;614052;WB 9.00x15.3 H2 6/161/205 Ø20 R16 ET-45;VG3 Yellow (CP1090 JCB) STARCO 1710@22;RAL1028;224;;210;224;-210;0;14;14;0,5;;0;0,5;;1;0,9375;14;14;45897;41,76;584,64
F-LINE;0;SO027281;PO004916;WO073252;Released;2;CO Puncher;Drawing;;;KENDA GB Rugeley Ltd;;614564;WB W13x20 H2 8/221/275 Ø21.5 R16 ET-15;VG3 Black RAL9005 STARCO 3750@30;RAL9005;240;;238;240;-238;0;2;2;0,166666667;;0;0,166666667;;1;0,991666667;2;2;45915;86,13;172,26
F-LINE;0;SO027754;PO010445;WO075325;Firm Planned;0;;Drawing;DE-3010B;;KENDA Deutschland GmbH;;708904;WB W11x20 H2 6/135.3/170 Ø17.5 ET-36;White CP1073 STARCO 1570@30;BIANCO LUCIDO;16;;0;0;0;0;16;16;1,333333333;;1;0,333333333;1;1;0;16;16;45954;96,4;1542,4
G-LINE;0;SO027264;KEPO-ST13262-1;WO073146;Released;1;prolazne rupe;Drawing;;;KENDA Europe A/S;;519357;WB 12LBx15 H2 10/93/140 Ø15 ET-70;Silver RAL9006 AVANT TECNO 2000@30;RAL9006;2;;0;0;0;0;2;2;0,095238095;;0;0,095238095;;1;0;2;2;45800;209,83;419,66
F-LINE;0;SO027557;PO010379;WO074053;Released;2;CO Puncher;Drawing;DE-0710;45937;KENDA Deutschland GmbH;;520100;WB 16.00x17 H2 6/161/205 Ø21.5 R16 ET-50;VG3 Silver RAL9006 STARCO 4000@40;RAL9006;50;;50;50;0;50;50;0;5;;5;0;5;;1;0;0;45961;62,61;3130,5
E-LINE;0;SO027179;PO004867;WO072786;Released;1;OC;Drawing;;;KENDA GB Rugeley Ltd;;108438;WB 10.50Ix12 H2 5/95/140 Ø18.5 R14 ET0;Silver RAL9006 STARCO 1210@20;RAL9006;150;;0;0;0;0;150;150;4,166666667;;4;0,166666667;4;1;0;150;150;45954;34,03;5104,5
B-LINE;0;SO027377;PO010060;WO073468;Released;2;;Drawing;;;KENDA Polska Sp. z.o.o.;;441016;WI EK 5.50Ax8 H2 25x85/95;TL Silver RAL9006 62052RS STARCO 243@20;RAL9006;600;NEMA;486;600;-486;0;114;114;0,651428571;1,266666667;0;0,651428571;;2;0,81;114;114;45912;11,25;1282,5
B-LINE;9;SO027668;PO010403;WO074495;Firm Planned;0;;Drawing;DE-1410;45944;KENDA Deutschland GmbH;;116518;WI GK 4.00Ex9 70/30x146/160;TL Silver RAL9006 62062RS STARCO 1700@10;RAL9006;100;;0;0;0;0;100;100;0,625;;0;0,625;;1;0;100;100;45961;27,77;2777
F-LINE;0;SO027557;PO010379;WO074057;Released;1;CO Puncher;Drawing;DE-1410;45944;KENDA Deutschland GmbH;;619316;WB 13.00x17 H2 6/161/205 Ø21.5 R16 ET-45;Red (Fendt Terra Red) STARCO 2360@40;FENT TERRA RED;60;;0;0;0;0;60;60;4;;4;0;4;;0;60;60;45961;66,99;4019,4
F-LINE;0;SO027556;PO010377;WO074046;Released;1;;Drawing;DE-1410;45944;KENDA Deutschland GmbH;;143897;WB 13.00x17 H2 6/161/205 Ø21.5 R16.0 ET0 VG;Silver RAL9006 STARCO 2360@40 + VL TR618A Steel...;RAL9006;60;;0;0;0;0;60;60;4;;4;0;4;;0;60;60;45961;60,05;3603
F-LINE;0;SO027592;PO010397;WO074189;Released;1;OC;Drawing;DE-1410;45944;KENDA Deutschland GmbH;;725772;WB W9x18 H2 6/161/205 Ø21.5 R16 ET0;Silver RAL9006 STARCO 1600@40;RAL9006;40;;0;0;0;0;40;40;2,5;;2;0,5;2;1;0;40;40;45961;59,27;2370,8
B-LINE;0;SO027439;KANBAN;WO073634;Finished;2;;Drawing;;;KENDA Polska Sp. z.o.o.;;739335;WI GPL 5.50Ax8 H2 19,1x89,5 TL Black CP2004;STARCO 220@20 + VL TR412 Rubber Snap-In V2.03.6;RAL9005;525;NEMA;525;525;-465;60;60;0;0,342857143;0,571428571;0;0,342857143;;1;1;0;0;45857;7,39;443,4
D-LINE;0;SO027453;PO004972;WO073668;Released;2;CO Puncher;Drawing;;;KENDA GB Rugeley Ltd;PRIO-KR8;275963;WB AG16.00x22.5 H2 8/221/275 Ø21.5 R16 ET-12;VG3 Black RAL9005 KENDA 4550@30;RAL9005;120;;112;120;-112;0;8;8;1;;1;0;1;;0,933333333;8;8;45899;138,65;1109,2
F-LINE;0;SO027592;PO010397;WO074196;Released;1;OC;Drawing;DE-1610;45946;KENDA Deutschland GmbH;;447414;WB 13.00x17 H2 5/192/225 Ø18.5 R14 ET37;Grey RAL7042 STARCO 2370@50;RAL7042;60;;0;0;0;0;60;60;4;;4;0;4;;0;60;60;45961;64,48;3868,8
G-LINE;0;SO027668;PO010403;WO074492;Released;1;OC;Drawing;DE-2110;45951;KENDA Deutschland GmbH;;688909;WB 6Jx16 H2 6/161/205 Ø20 R14 ET0;Silver RAL9006 STARCO 1500@90;RAL9006;64;;0;1;0;0;64;64;2,133333333;;2;0,133333333;2;1;0;64;64;45961;42,99;2751,36
G-LINE;0;SO027668;PO010403;WO074494;Released;1;OC;Drawing;DE-2110;45951;KENDA Deutschland GmbH;;104751;WB 8Jx16 H2 6/161/205 Ø20 R14 ET0;Silver RAL9006 STARCO 1750@70;RAL9006;64;;0;0;0;0;64;64;2,666666667;;2;0,666666667;2;1;0;64;64;45961;62,03;3969,92
E-LINE;0;SO027810;PO010485;WO074930;Firm Planned;0;CO Puncher;Drawing;DE-2310;45953;KENDA Deutschland GmbH;;274430;WB 10.50Ix12 H2 5/94/140 Ø18.5 R14 ET-26;VG2 Silver RAL9006 STARCO 1385@16;RAL9006;24;;0;0;0;0;24;24;0,5;;0;0,5;;1;0;24;24;45961;31,02;744,48
G-LINE;0;SO027592;PO010397;WO074188;Released;1;OC;Drawing;DE-2410;45954;KENDA Deutschland GmbH;;396002;WB 8LBx15 H2 5/110/160 Ø18.5 R14 ET50;Silver RAL9006 STARCO 1090@40;RAL9006;31;;0;0;0;0;31;31;1,107142857;;1;0,107142857;1;1;0;31;31;45961;54,17;1679,27
G-LINE;0;SO027668;PO010403;WO074493;Released;1;CO Puncher;Drawing;DE-2410;45954;KENDA Deutschland GmbH;;104690;WB 8LBx15 H2 6/161/205 Ø21.5 C90 ET18;Silver RAL9006 STARCO 2000@60;RAL9006;96;;0;0;0;0;96;96;3,428571429;;3;0,428571429;3;1;0;96;96;45961;61,81;5933,76
B-LINE;0;SO027617;KANBAN;WO074310;Firm Planned;0;;Drawing;;;STIGA S.p.A.;;514383;WB 5.50Ax8 H2 3/62/100 Ø11.5 C60 ET0 Grey CP1066;STARCO 400@20 + VL TR412 Rubber Snap-In V2.03.6;;167;;0;0;0;0;167;167;0,954285714;;0;0,954285714;;1;0;167;167;45898;0;0
G-LINE;0;SO027557;PO010379;WO074059;Released;1;CO Puncher;Drawing;DE-0910;45939;KENDA Deutschland GmbH;;672137;WB 11LBx16 H2 6/161/205 Ø21.5 R16 ET-20;VG3 Red (Fendt Terra Red) STARCO 2500@40;FENT TERRA RED;40;;0;0;0;0;40;40;2,222222222;;2;0,222222222;2;1;0;40;40;45961;64,26;2570,4
G-LINE;0;SO027557;PO010379;WO074058;Released;2;prolazne rupe;Drawing;DE-0910;45939;KENDA Deutschland GmbH;;630120;WB 7Jx16 H2 6/161/205 Ø18.5 ET83;Silver RAL9006 STARCO 1650@65;RAL9006;50;;0;50;0;0;50;50;1,666666667;;1;0,666666667;1;1;0;50;50;45961;61,22;3061
G-LINE;0;SO027817;PO010526;WO074987;Released;1;CO Puncher;Drawing;DE-3110;45961;KENDA Deutschland GmbH;;588889;WB AG9.50x14.5 H2 6/161/205 Ø21.5 R16 ET0;VG2 Silver RAL9006 STARCO 2000@40;RAL9006;100;;0;0;0;0;100;100;3,333333333;;3;0,333333333;3;1;0;100;100;45961;46,8;4680
G-LINE;0;SO027891;PO010537;WO075220;Firm Planned;0;;Drawing;DE-3010B;;KENDA Deutschland GmbH;;575025;WB 13LBx15 H2 10/93/140 Ø15 ET-12;Silver RAL9006 STARCO 2250@20;RAL9006;10;;0;0;0;0;10;10;0,476190476;;0;0,476190476;;1;0;10;10;45961;66,5;665
B-LINE;0;SO027617;KANBAN;WO074311;Firm Planned;0;;Drawing;;;STIGA S.p.A.;;514383;WB 5.50Ax8 H2 3/62/100 Ø11.5 C60 ET0 Grey CP1066;STARCO 400@20 + VL TR412 Rubber Snap-In V2.03.6;;667;;0;0;0;0;667;667;3,811428571;;3;0,811428571;3;1;0;667;667;45898;0;0
F-LINE;0;SO027709;4502601790;WO074669;Firm Planned;0;CO Puncher;Drawing;KR-3110;45961;Maschinenfabrik Bernard Krone GmbH & Co. KG;;376721;WB 16.00x17 H2 6/161/205 Ø21.5 R16 ET0;VG3 Silver RAL9006 STARCO 3750@40;RAL9006;20;;0;0;0;0;20;20;2;;2;0;2;;0;20;20;45947;61,8;1236
MTM-SBM;0;SO027665;PO010412;WO074487;Released;0;prolazne rupe;Drawing;DE-1610;45946;KENDA Deutschland GmbH;;714547;WB W12x28 6/135/170 Ø17 ET-36;VG2 Orange CP1031 STARCO 1100@30;KUBOTA ORANGE;4;;0;0;0;0;4;4;1,333333333;;1;0,333333333;1;1;0;4;4;45968;157,79;631,16
G-LINE;0;SO027572;PO005012;WO074113;Released;1;CO Puncher;Drawing;;;KENDA GB Rugeley Ltd;;429038;WB 9.00x15.3 H2 6/161/205 Ø21.5 R16 ET20;VG Black RAL9005 STARCO 1950@40;RAL9005 (CP1013);112;7;109;112;-109;0;3;3;0,107142857;;0;0,107142857;;1;0,973214286;3;3;45931;42,13;126,39
G-LINE;0;SO027572;PO005012;WO074114;Firm Planned;0;CO Puncher;Drawing;;;KENDA GB Rugeley Ltd;;494708;WB 9.00x15.3 H2 5/94/140 Ø18.5 R14 ET-35;VG3 Black RAL9005 KENDA 1360@40;RAL9005 (CP1013);56;;0;0;0;0;56;56;2;;2;0;2;;0;56;56;45982;42,13;2359,28
F-LINE;0;SO027572;PO005012;WO074116;Released;1;prolazne rupe;Drawing;;;KENDA GB Rugeley Ltd;;113715;WB W13x20 H2 8/221.5/275 Ø23.5 ET-15;VG3 Yellow (CP1090) KENDA 3423@30;JCB YELLOW;80;;0;0;0;0;80;80;6,666666667;;6;0,666666667;6;1;0;80;80;46032;81;6480
G-LINE;0;SO027572;PO005012;WO074125;Released;2;prolazne rupe;Drawing;;;KENDA GB Rugeley Ltd;PRIO;713069;WB 9.00x15.3 H2 5/93/140 Ø16.5 ET-84;VG3 Yellow CP1090 STARCO 975@40;JCB YELLOW;52;;50;52;-50;0;2;2;0,071428571;;0;0,071428571;;1;0,961538462;2;2;45922;41,76;83,52
E-LINE;0;SO027689;PO000097;WO074583;Firm Planned;0;CO Puncher;Drawing;BE-2710;45957;KENDA België NV;PRIO;522197;WB 6.00Ix10 H2 5/67/112 Ø16 R12 ET25;Silver RAL9006 KENDA 750@140;RAL9006;100;;0;0;0;0;100;100;1,041666667;;1;0,041666667;1;1;0;100;100;45975;17,42;1742
E-LINE;0;SO027689;PO000097;WO074584;Firm Planned;0;CO Puncher;Drawing;BE-2710;45957;KENDA België NV;PRIO;277004;WB 6.00Ix10 H2 5/94/140 Ø18.5 R14 ET-4;Silver RAL9006 KENDA 750@140;RAL9006;96;;0;0;0;0;96;96;1;;1;0;1;;0;96;96;45975;22,86;2194,56
F-LINE;0;;;WO074855;Released;1;CO Puncher;Drawing;;;;;119441;WB AG13.00x15.5 H2 6/161/205 Ø21.5 R16 ET0 RFH;Silver RAL9006 KENDA 2900@40;RAL9006;4;;0;0;0;0;4;4;0,19047619;;0;0,19047619;;1;0;4;4;#N/A;;
