Line;seq;SO;Ext.order;WO;Status;print;obrada;Drawings;Truck;Truck date;CUSTOMER;Customer comment;EAN;DESCRIPTION;DESCRIPTION2;Color;QTY;Reason - comment;Nav Painted;WELDED;SHIPPED;STOCK;REST;TBP;logic palet 1;logic palet 2;logic palet 3;logic palet 4;BIG;EURO;PROGRESS;calc;Rest2;EX.SHIP DATE;Unit price;Rest price
B-LINE;6;SO027173;PO010089;WO075181;Released;1;;Drawing;DE-1610;45946;KENDA Deutschland GmbH;;509556;WI EK 7.00Ax8 H2 30x92/102;TL Orange RAL2002 CP1056 6206 2RS C3 STARCO 450@40;RAL2002;5;;0;0;0;0;5;5;0,04;;0;0,04;;1;0;5;5;45864;14,82;74,1
E-LINE;0;SO027272;PO010154;WO073190;Released;4;;Drawing;;;KENDA Deutschland GmbH;PRIO;143880;WB 7.00Ix12 H2 10/93/140 Ø16.5 ET20 Silver;RAL9006 STARCO 975@10 + VL TR600XHP-P Rubber Sn...;RAL9006;130;167;127;130;-127;0;3;3;0,05;;0;0,05;;1;0,976923077;3;3;45864;32,86;98,58
GS-MTM;0;SO027344;L7M/1TH206;WO073403;Released;2;prolazne rupe;Drawing;RB-0610;45936;ROSENBAUER INTERNATIONAL AG;;718576;WB 10.00W-20 10/281/335 Ø26 ET0;Black RAL9005 STARCO 6500@90;RAL9005;40;;40;40;-40;0;0;0;0;;0;0;;;1;0;0;45927;392,04;0
F-LINE;0;SO025580;PO009256;WO075155;Released;1;;Drawing;DE-1410;45944;KENDA Deutschland GmbH;;143729;WB 13.00x17 H2 10/93/140 Ø15 ET-39 Silver RAL9006;AVANT TECNO 2300@10 + VL TR618A Steel Gromit V5...;RAL9006;20;;0;0;0;0;20;20;1,333333333;;1;0,333333333;1;1;0;20;20;45869;67,7;1354
E-LINE;0;SO027174;PO010088;WO072760;Released;2;;Drawing;;;KENDA Deutschland GmbH;PRIO;143774;WB 8.50Ix12 H2 6/90/120 Ø14 ET-18 Orange (CP 1031);STARCO 1030@40 + VL TR413 Rubber Snap-In ...;KUBOTA ORANGE;10;;6;10;-6;0;4;4;0,066666667;;0;0,066666667;;1;0,6;4;4;45869;31,01;124,04
G-LINE;0;SO027193;PO010104;WO072854;Released;2;OC;Drawing;;;KENDA Deutschland GmbH;PRIO;729916;WB 6Jx15 H2 6/161/205 Ø21.5 R16 ET70;Silver RAL9006 STARCO 1682@50;RAL9006;120;;119;120;-119;0;1;1;0,028571429;;0;0,028571429;;1;0,991666667;1;1;45869;40,03;40,03
B-LINE;0;SO025503;I22400249;WO069315;Finished;1;CO Puncher;Drawing;BE-1510;45945;KENDA België NV;;274539;WB 3.50Bx10 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 KENDA 500@140;RAL9006;1000;;1000;1000;-945;55;55;0;0,305555556;;0;0,305555556;;1;1;0;0;#N/A;;
B-LINE;0;SO026835;I22500134;WO071757;Released;1;CO Puncher;Drawing;BE-1510;45945;KENDA België NV;PRIO;294414;WB 7.00Ax8 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 NORMAL STARCO 425@140;RAL9006;50;;0;50;0;0;50;50;0,4;;0;0,4;;1;0;50;50;45806;14,99;749,5
A-LINE;3;SO027281;PO004916;WO073244;Released;0;;Drawing;GB-1510;45945;KENDA GB Rugeley Ltd;PRIO;277226;WI GO 2.10Ax4 35,3x63,5;TL Red RAL3002 STARCO 300@16;RAL3002;780;;0;0;0;0;780;780;0,78;;0;0,78;;1;0;780;780;45842;3,28;2558,4
C-LINE;1;SO027503;I22500515;WO073861;Released;2;CO Puncher;Drawing;BE-1510;45945;KENDA België NV;;139968;WB 2.50Ax8 H2 4/60/100 Ø14.5 C60 ET0;Silver RAL9006 KENDA 345@130;RAL9006;250;;0;0;0;0;250;250;0,712250712;;0;0,712250712;;1;0;250;250;45961;6,28;1570
