date-time;Work Order;Item no.;No.;Qty;Description;Customer code;Customer
(blank);WO071460;113425;E-LINE;0;WB 10.50Ix12 H2 10/93/140 Ø15 ET-50;1007385;Monitor Manufacturing
(blank);WO071461;275949;G-LINE;0;WB 13LBx15 H2 6/161/205 Ø19.5 C90 ET0;1000404;KENDA Schweiz AG
(blank);WO071462;552828;GS-STEP SPACER;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071465;563633;E-LINE;0;WB 5.00Ix12 H2 4/60/100 Ø15 C105 ET40;1000404;KENDA Schweiz AG
(blank);WO071467;552828;GS-STEP SPACER;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071467;585130;GS-LINE;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071469;711874;GS-LINE;0;DU Spacer Stepped 42/34K-300;;
(blank);WO071470;565217;GS-STEP SPACER;0;DU Spacer Stepped 46/38K-300;;
(blank);WO071470;711881;GS-LINE;0;DU Spacer Stepped 46/38K-300;;
(blank);WO071473;436531;G-LINE;0;RM 5.50Fx18;1000404;KENDA Schweiz AG
(blank);WO071473;584157;GS-SOK;0;RM 5.50Fx18;1000404;KENDA Schweiz AG
(blank);WO071475;336640;PRODFINISH;20;RM 4.50Ex16 H2;1000404;KENDA Schweiz AG
(blank);WO071481;336640;PRODFINISH;20;RM 4.50Ex16 H2;1000404;KENDA Schweiz AG
(blank);WO071483;336640;G-LINE;0;RM 4.50Ex16 H2;1000404;KENDA Schweiz AG
(blank);WO071483;717685;GS-SOK;0;RM 4.50Ex16 H2;1000404;KENDA Schweiz AG
(blank);WO071484;336640;G-LINE;0;RM 4.50Ex16 H2;1000404;KENDA Schweiz AG
(blank);WO071484;717685;GS-SOK;0;RM 4.50Ex16 H2;1000404;KENDA Schweiz AG
(blank);WO071485;336640;G-LINE;0;RM 4.50Ex16 H2;1000404;KENDA Schweiz AG
(blank);WO071485;717685;GS-SOK;0;RM 4.50Ex16 H2;1000404;KENDA Schweiz AG
(blank);WO071489;436531;G-LINE;0;RM 5.50Fx18;1000404;KENDA Schweiz AG
(blank);WO071489;585550;GS-SOK;0;RM 5.50Fx18;1000404;KENDA Schweiz AG
(blank);WO071505;733975;G-LINE;0;WB 6Jx16 H2 5/94/140 Ø18.5 R14 ET68;1000404;KENDA Schweiz AG
