MAIN BOM;No.;Description;Quantity per;Link;Draw
102443;262345;Valve guard VG3;1.00;VG3_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG3_BM.pdf
102443;60160280S02;RIM DW16LX28 6,0mm;1.00;60160280S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60160280S02-2.pdf
102443;61P2600057;"26"" PLUGGED DISC 10/335/281";1.00;DPC61P2600057;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P2600057.pdf
102443;CP5001;POWDER JDM F9H YELLOW;0.55;;
102481;61S2600052;"26"" GS DISC";1.00;;
102528;497082;RM DWW16Lx34;1.00;;
102528;607818;Valve guard VG9;1.00;;
102528;61S3200144;WD Formed T-mount 15mm  Ø780,0-764,1 mm;1.00;DPC61S3200144;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61S3200144.pdf
102528;CP1077;POWDER RAL9018 WHITE;0.70;;
102542;61S2600051;WD Formed T-mount 12mm  Ø630-Ø611,7 mm;1.00;DPC61S2600051;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61S2600051.pdf
102542;690148;RM DW15Lx28;1.00;690148_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\690148_BM.pdf
102542;CP1097;POWDER RAL1019 BEIGE;0.52;;
102559;491028;RM DWW20Bx38;1.00;;
102559;607818;Valve guard VG9;1.00;;
102559;61S3600162;WD Formed T-mount 15mm  Ø880,0-Ø865,7 mm;1.00;DPC61S3600162;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61S3600162.pdf
102559;CP1017;POWDER RAL9001 CREAM;0.95;;
102573;607818;Valve guard VG9;1.00;;
102573;618500;RM DWW16Lx46;1.00;;
102573;703909;DU Spacer Stepped 46/42K-350,0;1.00;62R460080_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R460080_BM.pdf
102573;CP1086;POWDER FTX GRIGIO PESCARA (Deutz dark grey);1.25;;
102580;262338;Valve guard VG2;1.00;VG2_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG2_BM.pdf
102580;60120200S01;RIM W12X20 H2 (5,0MM);1.00;60120200S01-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60120200S01-2.pdf
102580;61P2000068;"20"" PLUGGED DISC 8/275/221";1.00;DPC61P2000068;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P2000068.pdf
102580;CP1007;POWDER RAL7021 BLACK GREY;0.30;;
102610;62R360072;"36"" GS RING";1.00;;
102672;60035100S03;RIM 3,50X10 (2,5MM);1.00;60035100S03-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60035100S03-2.pdf
102672;61P1000153;"DISC,10""PRES,4/100/60";1.00;DPC61P1000153;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1000153.pdf
102672;CP1088;POWDER GREY MET 9006 RESIST;0.06;;
102702;102610;DU Spacer Stepped 36/30-240,0;1.00;62R360072_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R360072_BM.pdf
102702;545509;RM W10x36;1.00;;
102702;559315;DU Clamp ring 36-45;1.00;559315_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\559315_BM.pdf
102702;CP1002;POWDER RAL3002 CARMINE RED;0.60;;
102757;486260;RM DWW23Bx42;1.00;;
102757;702636;DU Spacer Emc2 42-335,0 V68;1.00;62R420075_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R420075_BM.pdf
102757;CP1088;POWDER GREY MET 9006 RESIST;1.34;;
102788;262338;Valve guard VG2;1.00;VG2_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG2_BM.pdf
102788;486246;RM DWW16Lx42;1.00;;
102788;634098;WD Formed T-mount 15mm  Ø980,0-Ø967,3mm;1.00;61S4000029_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\61S4000029_BM.pdf
102788;CP5001;POWDER JDM F9H YELLOW;0.92;;
102795;588148;RM DW23Bx38;1.00;;
102795;607818;Valve guard VG9;1.00;;
102795;61S3600117;WD Formed T-mount 12mm  Ø880,0-Ø865,7 mm;1.00;DPC61S3600117;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61S3600117.pdf
102795;CP1067;POWDER RAL9005 BLACK GL 80-90;1.05;;
102917;494760;DU Spacer Emc2 34-285;1.00;62R340001_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R340001_BM.pdf
102917;497068;RM DWW15Lx34;1.00;;
102917;CP1086;POWDER FTX GRIGIO PESCARA (Deutz dark grey);0.82;;
102931;486314;RM DWW18Lx42;1.00;;
102931;494944;DU Spacer Emc2 42K-335;1.00;62R420008_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R420008_BM.pdf
102931;CP2014;POWDER GRIGIO PE 5220 (4M8071);1.14;;
102955;262338;Valve guard VG2;1.00;VG2_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\VG2_BM.pdf
102955;60090153S13;RIM 9,00X15,3 H2 (5,0MM);1.00;60090153S13-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60090153S13-2.pdf
